player_name,total_runs,total_wickets,strike_rate,economy_rate,is_opener,is_finisher,is_death_bowler,is_economical,seasons_played,num_seasons,teams_played_for,num_teams,one_franchise,active_recent,early_ipl_era,played_for_csk,played_for_mi,played_for_rcb,played_for_kkr,played_for_srh,played_for_dc,played_for_dd,played_for_pbks,played_for_kxip,played_for_rr,played_for_gl,played_for_rps,played_for_ktr,played_for_pwi,played_for_dh,played_for_gt,played_for_lsg,primary_role,secondary_role,nationality,batting_hand,bowling_style,is_wicketkeeper,is_captain,is_power_hitter,is_anchor,is_spinner,is_pacer,is_all_rounder,is_clutch,won_orange_cap,won_purple_cap,won_ipl_title,is_international_star,personality_tag,legacy_team,fan_perception,iconic_moment
SC Ganguly,1349,10,106.81,7.89,False,False,False,False,"[2007, 2009, 2009, 2011, 2012]",5,"['Kolkata Knight Riders', 'Pune Warriors']",2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,True,False,False,False,True,True,False,False,False,True,True,Aggressive,Kolkata Knight Riders,,
BB McCullum,2882,0,131.6,0.0,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",11,"['Kolkata Knight Riders', 'Kochi Tuskers Kerala', 'Chennai Super Kings', 'Gujarat Lions', 'Royal Challengers Bangalore']",5,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Batsman | All-rounder,,Overseas,Right,Right-arm Fast | Leg-spin,False,False,True,False,False,True,True,True,False,False,False,True,Aggressive,,,
RT Ponting,91,0,71.09,0.0,True,False,False,False,"[2007, 2013]",2,"['Kolkata Knight Riders', 'Mumbai Indians']",2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
DJ Hussey,1322,8,122.98,8.97,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014]",7,"['Kolkata Knight Riders', 'Kings XI Punjab', 'Chennai Super Kings']",3,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
Mohammad Hafeez,64,2,77.11,6.8,False,False,False,False,[2007],1,['Kolkata Knight Riders'],1,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Off-spin,False,False,False,False,True,False,True,False,False,False,False,True,,,,
R Dravid,2174,0,115.52,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,"['Royal Challengers Bangalore', 'Rajasthan Royals']",2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Batsman,,Indian,Right,Right-arm Off-break,False,True,False,False,False,False,False,False,False,True,True,True,Consistent,Rajasthan Royals,A calm and consistent batsman.,Led the Rajasthan Royals to their maiden IPL title in 2008.
W Jaffer,130,0,107.44,0.0,True,False,False,False,"[2007, 2009]",2,['Royal Challengers Bangalore'],1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,False,False,False,False,False,False,,,,
V Kohli,8899,4,133.48,8.8,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]",19,"['Royal Challengers Bangalore', 'Royal Challengers Bengaluru']",2,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Indian,Right,Right-arm Fast,False,True,True,False,False,True,False,True,False,True,True,True,Aggressive,RCB,One of the greatest batsmen in IPL history,His 2016 IPL final century
JH Kallis,2427,65,109.23,7.9,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014]",7,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",2,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Consistent,,,
CL White,971,1,127.76,12.29,False,False,False,False,"[2007, 2009, 2011, 2012, 2013]",5,"['Royal Challengers Bangalore', 'Deccan Chargers', 'Sunrisers Hyderabad']",3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Batsman | All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,Sunrisers Hyderabad,,
MV Boucher,394,0,127.51,0.0,False,False,False,False,"[2007, 2009, 2009, 2011]",4,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wicket-keeper | Batsman,,Overseas,Right,Right-arm Fast,True,False,False,False,False,True,False,False,False,False,False,True,Finisher,,,
B Akhil,76,6,138.18,7.72,False,False,False,False,"[2007, 2009, 2011]",3,"['Royal Challengers Bangalore', 'Kochi Tuskers Kerala']",2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Indian,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,,,,
AA Noffke,9,1,90.0,10.0,False,False,False,False,[2007],1,['Royal Challengers Bangalore'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,,,,
P Kumar,340,90,108.28,7.73,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",10,"['Royal Challengers Bangalore', 'Kings XI Punjab', 'Mumbai Indians', 'Sunrisers Hyderabad', 'Gujarat Lions']",5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,Bowler,,Indian,Right,Right-arm Fast,False,False,False,False,True,True,False,False,False,False,False,False,,,,
Z Khan,117,102,82.98,7.59,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2014, 2016, 2017]",8,"['Royal Challengers Bangalore', 'Mumbai Indians', 'Delhi Daredevils']",3,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bowler,,Indian,Right,Left-arm Fast,False,False,False,False,True,True,False,False,False,False,False,False,Aggressive,,,
SB Joshi,6,1,42.86,8.95,False,False,False,False,[2007],1,['Royal Challengers Bangalore'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | Bowler | All-rounder | Wicket-keeper,,Indian | Overseas,Right | Left,Right-arm Fast | Left-arm Fast | Off-spin | Leg-spin | Left-arm spin | None,False,False,False,False,False,False,False,False,False,False,False,False,One word: Aggressive | Calm | Finisher | Maverick | Consistent | Match-winner,,,
PA Patel,2848,0,120.78,0.0,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",12,"['Chennai Super Kings', 'Kochi Tuskers Kerala', 'Deccan Chargers', 'Sunrisers Hyderabad', 'Royal Challengers Bangalore', 'Mumbai Indians']",6,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,Batsman,,Indian,Right,Right-arm Fast,False,False,False,False,False,True,False,False,False,False,False,False,Aggressive,,,
